"t_eval","lambda_c","lambda_d","power","mean_beta","se_power","lower","upper"
2,0.1,0.25,0.394,0.162665711153516,0.0154519901630826,0.363714099280358,0.424285900719642
3,0.1,0.25,0.487,0.236800623012081,0.0158060431481127,0.456020155429699,0.517979844570301
4,0.1,0.25,0.59,0.315292205595374,0.0155531347322654,0.55951585592476,0.62048414407524
2,0.2,0.25,0.371,0.159717363657797,0.0152760924322943,0.341058858832703,0.400941141167297
3,0.2,0.25,0.508,0.243437818603097,0.0158093643135959,0.477013645945352,0.538986354054648
4,0.2,0.25,0.58,0.309181628451479,0.0156076904121013,0.549408926792281,0.610591073207719
2,0.3,0.25,0.346,0.159654912081828,0.0150427391122761,0.316516231339939,0.375483768660061
3,0.3,0.25,0.48,0.235770822914249,0.0157987341265052,0.44903448111205,0.51096551888795
4,0.3,0.25,0.579,0.312968490577115,0.0156127832240123,0.548398944880936,0.609601055119064
2,0.4,0.25,0.357,0.157268118229596,0.0151509405648626,0.327304156492869,0.386695843507131
3,0.4,0.25,0.506,0.238361249734021,0.0158102498398982,0.4750119103138,0.5369880896862
4,0.4,0.25,0.575,0.316028995776489,0.0156324982008635,0.544360303526307,0.605639696473692
