"t_eval","scenario","lambda_c","lambda_d","reject_rate","mean_beta","se_reject","lower","upper"
2,"baseline",0.25,0.25,0.054,0.00413842208919062,0.00714730718522718,0.0399912779169547,0.0680087220830453
3,"baseline",0.25,0.25,0.045,-0.00220490706371673,0.00655553201502365,0.0321511572505536,0.0578488427494463
4,"baseline",0.25,0.25,0.057,-0.00255102873621963,0.00733150734842433,0.0426302455970883,0.0713697544029117
2,"high_censor",0.4,0.25,0.063,-0.00218459089493935,0.0076831634109916,0.0479409997144565,0.0780590002855435
3,"high_censor",0.4,0.25,0.057,0.00351510796011344,0.00733150734842433,0.0426302455970883,0.0713697544029117
4,"high_censor",0.4,0.25,0.047,0.00150907609672603,0.00669260786241059,0.0338824885896753,0.0601175114103247
2,"high_death",0.25,0.4,0.048,-0.00431000857200173,0.00675988165576883,0.0347506319546931,0.0612493680453069
3,"high_death",0.25,0.4,0.039,-0.00582190065436374,0.00612200947402076,0.0270008614309193,0.0509991385690807
4,"high_death",0.25,0.4,0.048,0.00467728080754222,0.00675988165576883,0.0347506319546931,0.0612493680453069
2,"high_both",0.4,0.4,0.055,-0.000911809808567019,0.00720936890441875,0.0408696369473392,0.0691303630526608
3,"high_both",0.4,0.4,0.06,-0.0113116463648019,0.00750999334220743,0.0452804130492734,0.0747195869507266
4,"high_both",0.4,0.4,0.053,0.000253933832945712,0.00708456067798138,0.0391142610711565,0.0668857389288435
